Dataset,Model,Class,F1,OA,IoU
WHU,baseline,pos,93.759,99.511,88.252
WHU,baseline,neg,99.746,99.511,99.492
WHU,resnet101,pos,93.38,99.474,87.582
WHU,resnet101,neg,99.726,99.474,99.454
WHU,swint,pos,89.185,99.15,80.481
WHU,swint,neg,99.558,99.15,99.119
WHU,swintCitySem,pos,87.368,99.015,77.569
WHU,swintCitySem,neg,99.488,99.015,98.981
WHU,swinb,pos,89.215,99.168,80.530
WHU,swinbCitySem,pos,90.524,99.260,82.688
WHU,mamba1k,pos,87.855,99.039,78.341
WHU,mamba1k,neg,99.499,99.039,99.004
WHU,resnet50flip30,pos,93.700,99.507,88.147
WHU,resnet50flip30,neg,99.743,99.507,99.488
WHU,resnet50flip30crop,pos,93.846,99.518,88.406
WHU,resnet50flip30crop,neg,99.749,99.518,99.499
WHU,resnet50flip30cropCeDice,pos,93.589,99.495,87.951
WHU,resnet50flip30cropCeDice,neg,99.737,99.495,99.475
LEVIR,baseline,pos,91.893,99.186,85
LEVIR,baseline,neg,99.571,99.186,99.146
LEVIR,resnet101,pos,91.727,99.176,84.718
LEVIR,resnet101,neg,99.566,99.176,99.136
LEVIR,swint,pos,91.351,99.126,84.079
LEVIR,swint,neg,99.54,99.126,99.084
LEVIR,swintCitySem,pos,91.539,99.145,84.398
LEVIR,swintCitySem,neg,99.55,99.145,99.104
LEVIR,swinb,pos,90.734,99.073,83.039
LEVIR,swinbCitySem,pos,90.681,99.060,82.950
LEVIR,mamba1k,pos,91.257,99.118,83.92
LEVIR,mamba1k,neg,99.536,99.118,99.076
LEVIR,resnet50flip30,pos,91.694,99.165,84.662
LEVIR,resnet50flip30,neg,99.561,99.165,99.125
LEVIR,resnet50flip30crop,pos,91.900,99.321,85.015
LEVIR,resnet50flip30crop,neg,99.646,99.321,99.294
LEVIR,resnet50flip30cropCeDice,pos,91.314,99.123,84.016
LEVIR,resnet50flip30cropCeDice,neg,99.538,99.123,99.080
CDD,baseline,pos,97.886,99.499,95.86
CDD,baseline,neg,99.716,99.499,99.433
CDD,resnet101,pos,97.645,99.442,95.398
CDD,resnet101,neg,99.683,99.442,99.369
CDD,swint,pos,96.192,99.101,92.663
CDD,swint,neg,99.49,99.119,98.986
CDD,swintCitySem,pos,95.826,99.016,91.987
CDD,swintCitySem,neg,99.442,99.016,98.89
CDD,swinb,pos,94.100,98.619,88.857
CDD,swinbCitySem,pos,95.953,99.044,92.220
CDD,mamba1k,pos,96.376,99.143,93.006
CDD,mamba1k,neg,99.514,99.143,99.033
CDD,resnet50flip30,pos,97.816,99.483,95.724
CDD,resnet50flip30,neg,99.707,99.483,99.415
CDD,resnet50flip30crop,pos,97.852,99.491,95.794
CDD,resnet50flip30crop,neg,99.711,99.491,99.424
CDD,resnet50flip30cropCeDice,pos,97.125,99.319,94.410
CDD,resnet50flip30cropCeDice,neg,99.614,99.319,99.23